timestamp,evento,ação,usuario,cod1,descricao_rede,cod2,nat_policy,porta_saida,porta_entrada,ip_origem,ip_destino,porta_origem,porta_destino,protocolo,flag,label
2025-03-06 14:07:30,Firewall Rule,Denied,admin@pmg.local,13.78,ATAQUE AUTOMATIZADO,70,Sem NAT,Port2.16,Port10,172.16.101.135,192.168.75.93,18883,80.0,GRE,1,1
2025-03-06 14:07:41,Firewall Rule,Allowed,admin@pmg.local,280.82,TENTATIVA DE EXPLOIT,116,Double NAT,Port10.9,Port31,172.16.101.135,192.168.212.196,23943,3389.0,GRE,1,1
2025-03-06 14:06:13,Firewall Rule,Denied,exploit@malware.org,194.06,COMUNICAÇÃO EXTERNA,131,Ataque NAT,Port36.58,Port31,172.16.101.135,10.143.178.232,43886,80.0,ICMP,0,1
2025-03-06 14:07:04,Alert,Allowed,usuario@pmg.local,245.56,TENTATIVA DE EXPLOIT,56,Bypass,Port19.44,Port10,172.16.101.135,172.28.90.235,52672,25.0,GRE,0,1
2025-03-06 14:07:14,Firewall Rule,Dropped, ,79.79,COMUNICAÇÃO EXTERNA,94,Double NAT,Port35.84,Port36,172.16.101.135,192.168.134.246,47474,3306.0,GRE,1,1
2025-03-06 14:05:20,Alert,Dropped,,65.36,COMUNICAÇÃO EXTERNA,177,Double NAT,Port13.51,Port58,172.16.101.135,172.31.188.165,21219,5900.0,TCP,1,1
2025-03-06 14:04:40,Connection Attempt,Dropped,exploit@malware.org,285.52,ACESSO INTERNET REDE DE ACESSO,268,Ataque NAT,Port13.44,Port53,172.16.101.135,172.21.4.212,10061,3306.0,ESP,1,1
2025-03-06 14:02:42,Alert,Blocked,usuario@pmg.local,96.48,VARREDURA DE PORTAS,108,Sem NAT,Port4.47,Port58,172.16.101.135,172.20.120.76,14028,80.0,ICMP,1,1
2025-03-06 14:02:51,Connection Attempt,Blocked,root@compromised.dev,122.18,ACESSO INTERNET REDE DE ACESSO,215,Default SNAT IPv4,Port30.28,Port16,172.16.101.135,192.168.142.134,404,110.0,UDP,0,1
2025-03-06 14:02:29,Connection Attempt,Denied,,288.37,VARREDURA DE PORTAS,229,Ataque NAT,Port23.8,Port49,172.16.101.135,10.242.5.110,22190,3306.0,TCP,0,1
2025-03-06 14:04:54,Connection Attempt,Blocked,admin@pmg.local,120.44,TRÁFEGO SUSPEITO,143,Ataque NAT,Port24.87,Port43,172.16.101.135,172.22.203.135,40005,80.0,ESP,0,1
2025-03-06 14:07:56,Alert,Denied,ataque@botnet.local,140.55,ACESSO INTERNET REDE DE ACESSO,157,Default SNAT IPv4,Port5.72,Port42,172.16.101.135,192.168.22.81,46027,5900.0,TCP,0,1
