timestamp,evento,ação,usuario,cod1,descricao_rede,cod2,nat_policy,porta_saida,porta_entrada,ip_origem,ip_destino,porta_origem,porta_destino,protocolo,flag,label
2025-06-05 06:00:08,Firewall Rule,Denied,scan@rogue.dev,338.26,TENTATIVA DE EXPLOIT,149,SNAT Temporário,Port33.8,Port6,10.7.232.116,172.27.133.157,27648,97.0,ICMP,1,1
2025-06-05 06:00:15,Firewall Rule,Dropped,root@compromised.dev,267.53,VARREDURA DE PORTAS,260,SNAT Temporário,Port28.40,Port3,10.7.232.116,172.27.133.157,15443,3306.0,UDP,0,1
2025-06-05 06:00:17,Connection Attempt,Denied,exploit@malware.org,425.54,DDoS DETECTADO,240,SNAT Temporário,Port29.8,Port59,10.7.232.116,172.27.133.157,25392,3389.0,UDP,1,1
2025-06-05 06:00:22,Alert,Denied,scan@rogue.dev,114.27,TRÁFEGO SUSPEITO,465,Ataque NAT,Port12.25,Port7,10.7.232.116,172.27.133.157,17187,80.0,ICMP,1,1
2025-06-05 06:00:31,Connection Attempt,Dropped,scan@rogue.dev,243.94,DDoS DETECTADO,480,Ataque NAT,Port33.28,Port7,10.7.232.116,172.27.133.157,7318,443.0,ICMP,0,1
2025-06-05 06:00:36,Firewall Rule,Dropped,ataque@botnet.local,232.8,TENTATIVA DE EXPLOIT,169,SNAT Temporário,Port21.35,Port59,10.7.232.116,172.27.133.157,41060,80.0,TCP,0,1
2025-06-05 06:00:37,Firewall Rule,Dropped,root@compromised.dev,487.46,TRÁFEGO SUSPEITO,288,SNAT Temporário,Port6.2,Port25,10.7.232.116,172.27.133.157,50209,9527.0,ICMP,1,1
2025-06-05 06:00:46,Alert,Denied,scan@rogue.dev,455.96,VARREDURA DE PORTAS,403,Ataque NAT,Port18.20,Port51,10.7.232.116,172.27.133.157,33566,3389.0,TCP,0,1
2025-06-05 06:00:50,Alert,Blocked,exploit@malware.org,176.82,TENTATIVA DE EXPLOIT,295,Ataque NAT,Port16.44,Port34,10.7.232.116,172.27.133.157,39307,80.0,UDP,1,1
2025-06-05 06:00:52,Firewall Rule,Blocked,root@compromised.dev,392.24,TRÁFEGO SUSPEITO,285,Double NAT,Port20.71,Port47,10.7.232.116,172.27.133.157,43124,3389.0,TCP,1,1
2025-06-05 06:01:02,Firewall Rule,Dropped,root@compromised.dev,314.06,VARREDURA DE PORTAS,292,SNAT Temporário,Port22.26,Port54,10.7.232.116,172.27.133.157,18223,80.0,ICMP,0,1
2025-06-05 06:01:04,Alert,Dropped,root@compromised.dev,496.41,TENTATIVA DE EXPLOIT,483,SNAT Temporário,Port34.45,Port23,10.7.232.116,172.27.133.157,4947,80.0,TCP,1,1
2025-06-05 06:01:06,Firewall Rule,Denied,root@compromised.dev,340.84,ATAQUE AUTOMATIZADO,421,SNAT Temporário,Port47.53,Port46,10.7.232.116,172.27.133.157,57646,3306.0,TCP,0,1
2025-06-05 06:01:14,Alert,Denied,exploit@malware.org,254.14,VARREDURA DE PORTAS,183,Double NAT,Port39.70,Port32,10.7.232.116,172.27.133.157,39291,53.0,TCP,0,1
2025-06-05 06:01:23,Alert,Blocked,ataque@botnet.local,313.06,ATAQUE AUTOMATIZADO,128,SNAT Temporário,Port6.96,Port42,10.7.232.116,172.27.133.157,50049,22.0,TCP,1,1
