timestamp,evento,ação,usuario,cod1,descricao_rede,cod2,nat_policy,porta_saida,porta_entrada,ip_origem,ip_destino,porta_origem,porta_destino,protocolo,flag
2025-03-06 10:00:42,Allowed Access,Allowed,guest@pmg.local,209.16,ACESSO INTERNET REDE DE ACESSO,58,Default SNAT IPv4,Port15.77,Port12,192.168.24.191,10.236.134.171,64824,40235.0,TCP,0
2025-03-06 10:01:52,Allowed Access,Allowed,admin@pmg.local,104.37,ACESSO INTERNET REDE DE ACESSO,50,Default SNAT IPv4,Port9.21,Port14,172.16.39.121,10.41.194.159,21854,8080.0,TCP,1
2025-03-06 10:01:01,Firewall Rule,Allowed,admin@pmg.local,59.29,REDE CONVIDADO,203,Custom SNAT,Port23.75,Port17,10.249.119.230,172.21.133.119,50079,143.0,TCP,1
2025-03-06 10:00:37,Session Log,Accepted,usuario@pmg.local,179.17,VPN CORPORATIVA,59,SNAT Alternativo,Port38.28,Port46,172.30.205.7,172.21.81.210,26614,110.0,TCP,1
2025-03-06 10:01:42,Session Log,Allowed,admin@pmg.local,221.49,REDE EDUCACIONAL,288,Default SNAT IPv4,Port20.14,Port19,172.27.62.138,172.28.48.48,32995,80.0,TCP,0
2025-03-06 10:00:06,Session Log,Allowed,scanner@iot.local,12.42,ACESSO À REDE WI-FI,118,Custom SNAT,Port1.95,Port5,192.168.168.144,10.117.143.161,44748,80.0,TCP,0
2025-03-06 10:01:00,Session Log,Allowed,admin@pmg.local,151.86,ACESSO INTERNET REDE DE ACESSO,293,Default SNAT IPv4,Port25.89,Port24,10.185.168.40,192.168.223.243,13759,3306.0,UDP,0
2025-03-06 10:00:36,Allowed Access,Allowed,admin@pmg.local,194.12,ACESSO À REDE WI-FI,229,Default SNAT IPv4,Port7.26,Port47,172.28.213.6,10.90.82.105,22722,443.0,UDP,0
2025-03-06 10:01:51,Firewall Rule,Allowed,admin@pmg.local,214.58,REDE EDUCACIONAL,71,SNAT Alternativo,Port3.77,Port6,192.168.90.115,192.168.57.13,50817,35715.0,ICMP,1
2025-03-06 10:01:19,Allowed Access,Allowed,scanner@iot.local,208.49,ACESSO INTERNET REDE DE ACESSO,62,Default SNAT IPv4,Port30.43,Port15,172.27.235.10,192.168.12.240,33704,6054.0,ICMP,0
2025-03-06 10:00:05,Session Log,Allowed,scanner@iot.local,135.19,TRÁFEGO INTERNO,180,Redirecionamento SNAT,Port40.71,Port34,172.21.100.128,10.49.252.16,36823,443.0,ICMP,1
2025-03-06 10:01:59,Session Log,Accepted,guest@pmg.local,233.81,ACESSO À REDE WI-FI,230,Default SNAT IPv4,Port37.92,Port41,10.9.247.47,10.110.63.240,64138,3389.0,ICMP,0
2025-03-06 10:01:41,Allowed Access,Allowed,scanner@iot.local,200.3,TRÁFEGO INTERNO,164,Custom SNAT,Port42.14,Port42,192.168.113.11,172.21.201.34,16579,8443.0,ICMP,0
2025-03-06 10:01:48,Firewall Rule,Allowed,scanner@iot.local,106.12,REDE EDUCACIONAL,151,Default SNAT IPv4,Port5.94,Port50,10.26.184.145,172.21.42.184,11773,8443.0,TCP,1
2025-03-06 10:00:05,Allowed Access,Allowed,guest@pmg.local,209.22,ACESSO INTERNET REDE DE ACESSO,294,Redirecionamento SNAT,Port33.56,Port50,172.23.16.231,192.168.10.28,35882,25.0,TCP,0
2025-03-06 10:01:25,Session Log,Allowed,vazio@pmg.local,249.08,VPN CORPORATIVA,166,Redirecionamento SNAT,Port3.70,Port13,192.168.169.229,10.92.70.105,15371,80.0,TCP,1
2025-03-06 10:00:18,Allowed Access,Allowed,guest@pmg.local,244.78,TRÁFEGO INTERNO,219,Redirecionamento SNAT,Port27.31,Port7,10.70.242.25,172.28.157.252,60325,8080.0,ICMP,0
2025-03-06 10:00:21,Session Log,Allowed,admin@pmg.local,224.97,VPN CORPORATIVA,103,SNAT Alternativo,Port9.83,Port50,192.168.29.168,10.123.140.37,64379,3389.0,ICMP,0
2025-03-06 10:00:33,Allowed Access,Allowed,admin@pmg.local,97.4,TRÁFEGO INTERNO,94,Custom SNAT,Port5.6,Port5,192.168.182.12,10.110.238.130,64491,110.0,ICMP,0
2025-03-06 10:00:02,Allowed Access,Allowed,guest@pmg.local,113.31,TRÁFEGO INTERNO,66,Default SNAT IPv4,Port10.71,Port50,10.242.49.179,10.41.194.159,37781,25713.0,ICMP,0
2025-03-06 10:01:09,Session Log,Allowed,guest@pmg.local,23.72,REDE EDUCACIONAL,201,Default SNAT IPv4,Port28.76,Port8,172.22.178.158,10.229.217.201,47374,3389.0,TCP,1
2025-03-06 10:00:00,Allowed Access,Allowed,guest@pmg.local,93.6,ACESSO À REDE WI-FI,63,SNAT Alternativo,Port45.65,Port46,10.200.181.171,192.168.113.96,28570,8080.0,UDP,0
2025-03-06 10:01:48,Allowed Access,Allowed,usuario@pmg.local,73.46,ACESSO À REDE WI-FI,192,SNAT Alternativo,Port21.32,Port11,172.20.246.25,192.168.151.51,50979,3389.0,TCP,0
2025-03-06 10:00:12,Allowed Access,Allowed,guest@pmg.local,20.53,ACESSO À REDE WI-FI,205,Custom SNAT,Port16.39,Port13,172.18.116.208,172.22.32.18,56919,25.0,ICMP,0
