IP de Origem;Qtd_Conexoes;Diversidade_IP_Destino;Tempo_Total_das_requisicoes;Requisicoes_por_Segundo;Qtd_Portas_Solicitadas;IP de Origem Num;Blacklist;Classe_Real;Classe_Prevista;Comportamento
192.168.1.19;5;5;4043;0.0012367054167697256;4;3232235795;0;1;1;0
172.22.46.188;10;2;5;2.0;3;2887134908;0;0;0;0
192.168.1.81;2;2;2543;0.0007864726700747149;2;3232235857;0;1;1;0
192.168.1.23;1;1;0;0.0;1;3232235799;0;1;1;0
192.168.1.77;5;5;2995;0.001669449081803005;3;3232235853;0;1;1;0
185.220.101.1;2;1;0;0.0;1;3118228737;0;1;1;0
10.10.10.21;2;2;3820;0.0005235602094240838;2;168430101;0;1;1;0
172.22.20.82;5;4;3;1.6666666666666667;4;2887128146;0;0;0;0
172.22.20.122;133;3;4;33.25;2;2887128186;0;0;0;0
192.168.1.65;4;4;1546;0.00258732212160414;2;3232235841;0;1;1;0
172.204.123.20;5;3;4;1.25;1;2899082004;0;0;0;0
192.168.1.28;2;2;1326;0.0015082956259426848;2;3232235804;0;1;1;0
172.19.124.0;2;2;0;0.0;2;2886958080;0;0;0;0
192.168.1.49;10;8;4132;0.002420135527589545;6;3232235825;0;1;1;0
10.10.10.35;1;1;0;0.0;1;168430115;0;1;0;0
10.10.10.10;6;5;5611;0.0010693281055070398;2;168430090;0;1;1;0
10.10.10.48;1;1;0;0.0;1;168430128;0;1;1;0
192.168.1.81;2;2;2543;0.0007864726700747149;2;3232235857;0;1;1;0
192.168.1.36;3;2;2014;0.0014895729890764648;3;3232235812;0;1;1;0
10.10.10.33;2;2;2902;0.0006891798759476223;2;168430113;0;1;1;0
192.168.1.21;5;5;4474;0.001117568171658471;3;3232235797;0;1;1;0
172.22.88.62;1;1;0;0.0;1;2887145534;0;0;0;0
192.168.1.60;5;5;5070;0.0009861932938856016;3;3232235836;0;1;1;0
192.168.1.33;3;3;4320;0.0006944444444444445;1;3232235809;0;1;1;0
172.22.77.40;3;1;4;0.75;1;2887142696;0;0;0;0
172.22.12.96;4;3;6;0.6666666666666666;4;2887126112;0;0;0;0
192.168.1.22;4;3;2013;0.001987083954297069;3;3232235798;0;1;1;0
192.168.1.97;6;6;4354;0.0013780431786862655;2;3232235873;0;1;1;0
192.168.1.83;3;3;2237;0.0013410818059901655;2;3232235859;0;1;1;0
172.204.129.138;2;2;3;0.6666666666666666;1;2899083658;0;0;0;0
172.204.125.219;16;7;47;0.3404255319148936;1;2899082715;0;0;0;0
192.168.1.66;3;3;5678;0.0005283550545966889;2;3232235842;0;1;1;0
10.10.10.25;3;3;1111;0.0027002700270027003;3;168430105;0;1;1;0
192.168.1.69;7;4;4734;0.001478664976763836;5;3232235845;0;1;1;0
172.22.22.56;1;1;0;0.0;1;2887128632;0;0;0;0
172.22.12.21;2;2;0;0.0;1;2887126037;0;0;0;0
172.204.131.183;11;7;5;2.2;2;2899084215;0;0;0;0
172.22.12.100;3;3;1;3.0;3;2887126116;0;0;0;0
192.168.1.56;4;3;3232;0.0012376237623762376;4;3232235832;0;1;1;0
187.95.168.67;4;1;0;0.0;1;3143608387;0;0;0;0
172.22.20.131;3;3;41;0.07317073170731707;3;2887128195;0;0;0;0
192.168.255.119;1;1;0;0.0;1;3232300919;0;0;0;0
192.168.1.86;4;3;4930;0.0008113590263691683;3;3232235862;0;1;1;0
10.10.10.47;3;3;1104;0.002717391304347826;2;168430127;0;1;1;0
192.168.1.76;1;1;0;0.0;1;3232235852;0;0;1;0
172.22.22.54;6;4;4;1.5;3;2887128630;0;0;0;0
172.204.136.72;7;4;2;3.5;2;2899085384;0;0;0;0
10.10.10.15;3;3;3883;0.0007725985063095545;1;168430095;0;1;1;0
172.204.128.212;8;4;7;1.1428571428571428;2;2899083476;0;0;0;0
172.22.43.85;6;6;6;1.0;2;2887134037;0;0;0;0
177.73.104.77;1;1;0;0.0;1;2974378061;0;0;0;0
172.22.103.249;1;1;0;0.0;1;2887149561;0;0;0;0
192.168.1.51;7;6;5170;0.0013539651837524177;4;3232235827;0;1;1;0
