IP de Origem	Qtd_Conexoes	Diversidade_IP_Destino	Tempo_Total	Requisicoes_por_Segundo	IP de Origem Num	Blacklist	Classe_Real	Classe_Prevista	Comportamento
192.168.1.19	5	5	1	5.0	3232235795	0	1	1	0
192.168.1.90	6	5	1	6.0	3232235866	0	1	1	0
192.168.1.53	5	4	1	5.0	3232235829	0	1	1	0
192.168.1.28	2	2	1	2.0	3232235804	0	1	1	0
192.168.1.55	4	4	1	4.0	3232235831	0	1	1	0
192.168.1.85	5	4	1	5.0	3232235861	0	1	1	0
192.168.1.69	1	1	1	1.0	3232235845	0	0	1	0
10.10.10.48	1	1	1	1.0	168430128	0	1	1	0
192.168.1.45	11	10	1	11.0	3232235821	0	1	1	2
192.168.1.88	6	6	1	6.0	3232235864	0	1	1	0
192.168.1.33	3	3	1	3.0	3232235809	0	1	1	0
10.10.10.28	8	7	1	8.0	168430108	0	1	1	0
10.10.10.20	4	4	1	4.0	168430100	0	1	1	0
192.168.1.19	5	5	1	5.0	3232235795	0	1	1	0
10.10.10.43	6	4	1	6.0	168430123	0	1	1	0
192.168.1.70	1	1	1	1.0	3232235846	0	1	1	0
192.168.1.74	6	5	1	6.0	3232235850	0	1	1	0
10.10.10.17	2	2	1	2.0	168430097	0	1	1	0
192.168.1.90	6	5	1	6.0	3232235866	0	1	1	0
192.168.1.13	7	6	1	7.0	3232235789	0	1	1	0
185.220.101.12	77	54	1	77.0	3118228748	0	1	1	2
192.168.1.74	6	5	1	6.0	3232235850	0	1	1	0
192.168.1.97	6	6	1	6.0	3232235873	0	1	1	0
192.168.1.47	5	4	1	5.0	3232235823	0	1	1	0
192.168.1.24	3	3	1	3.0	3232235800	0	1	1	0
192.168.1.90	6	5	1	6.0	3232235866	0	1	1	0
10.10.10.11	1	1	1	1.0	168430091	0	1	1	0
192.168.1.22	4	3	1	4.0	3232235798	0	1	1	0
192.168.1.95	5	4	1	5.0	3232235871	0	1	1	0
192.168.1.98	5	5	1	5.0	3232235874	0	1	1	0
192.168.1.87	1	1	1	1.0	3232235863	0	0	1	0
10.10.10.46	7	6	1	7.0	168430126	0	1	1	0
192.168.1.91	8	6	1	8.0	3232235867	0	1	1	0
192.168.1.36	3	2	1	3.0	3232235812	0	1	1	0
