ip,probabilidade_malicioso,razao_suspeita,ausencia_usuario,frequencia_acesso,ips_conversando,media_intervalo_temporal,porta_destino,noturno,porta_privilegiada,na_blacklist,acessos_por_minuto,diversidade_portas
172.217.28.162,0.8327799422799423,Padrão genérico suspeito,0.3333333333333333,1,0,0.5,443,0,0,0,0.6,1
35.186.224.24,0.8327799422799423,Padrão genérico suspeito,0.3333333333333333,1,0,22.0,443,0,0,0,0.6,1
142.250.219.227,0.8277799422799423,Padrão genérico suspeito,0.5,1,0,3.0,443,0,0,0,0.4,1
20.22.207.36,0.8277799422799423,Padrão genérico suspeito,0.6666666666666666,1,0,2.0,443,0,0,0,0.6,1
172.217.172.138,0.8277799422799423,Padrão genérico suspeito,0.5,1,0,1.0,443,0,0,0,0.4,1
172.217.30.40,0.8277799422799423,Padrão genérico suspeito,0.5,1,0,1.0,443,0,0,0,0.4,1
34.213.95.1,0.7976471861471862,Alta taxa de acessos sem autenticação,1.0,1,0,23.0,443,0,0,0,0.6,1
17.250.105.11,0.7976471861471862,Alta taxa de acessos sem autenticação,1.0,1,0,1.0,443,0,0,0,0.4,1
34.213.95.1,0.7976471861471862,Alta taxa de acessos sem autenticação,1.0,2,0,23.0,443,0,0,0,0.6,1
34.213.95.1,0.7976471861471862,Alta taxa de acessos sem autenticação,1.0,3,0,23.0,443,0,0,0,0.6,1
177.174.96.165,0.7976471861471862,Alta taxa de acessos sem autenticação,1.0,2,0,1.5,8088,0,0,0,0.6,1
177.174.96.165,0.7976471861471862,Alta taxa de acessos sem autenticação,1.0,3,0,1.5,8088,0,0,0,0.6,1
177.174.96.165,0.7976471861471862,Alta taxa de acessos sem autenticação,1.0,1,0,1.5,8088,0,0,0,0.6,1
17.250.105.11,0.7976471861471862,Alta taxa de acessos sem autenticação,1.0,2,0,1.0,443,0,0,0,0.4,1
8.8.8.8,0.7637323232323232,Padrão genérico suspeito,0.34,2,0,0.9591836734693877,53,0,0,0,10.0,2
8.8.8.8,0.7637323232323232,Padrão genérico suspeito,0.34,1,0,0.9591836734693877,53,0,0,0,10.0,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,29,0,6.472727272727273,7680,0,0,0,11.2,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,27,0,6.472727272727273,7680,0,0,0,11.2,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,28,0,6.472727272727273,7680,0,0,0,11.2,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,1,0,6.472727272727273,7680,0,0,0,11.2,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,30,0,6.472727272727273,7680,0,0,0,11.2,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,31,0,6.472727272727273,7680,0,0,0,11.2,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,25,0,6.472727272727273,7680,0,0,0,11.2,2
