IP de Origem;Qtd_Conexoes;Tempo_Segundos;Diversidade_IP_Destino;Requisicoes_por_Segundo;Qtd_Portas_Solicitadas;IP de Origem Num;Blacklist
167775172;5;35120;3;0.00014236902050113895;5;167775172;0
167783184;4;39920;4;0.0001002004008016032;4;167783184;0
167838942;4;37898;1;0.0001055464668320228;4;167838942;0
167853480;4;18738;4;0.00021346995410395986;4;167853480;0
167861336;3;5493;1;0.0005461496450027307;3;167861336;0
167903498;4;15514;4;0.00025783163594173;4;167903498;0
167931580;1;0;1;0.0;1;167931580;0
167980101;4;21639;1;0.00018485142566662045;4;167980101;0
168022565;2;14483;1;0.00013809293654629565;2;168022565;0
168040513;2;14129;2;0.00014155283459551277;2;168040513;0
168043328;3;11596;2;0.00025870989996550536;3;168043328;0
168088504;2;7044;1;0.00028392958546280523;2;168088504;0
168096880;4;15557;4;0.000257118981808832;4;168096880;0
168120189;3;32356;2;9.271850661392014e-05;3;168120189;0
168125285;2;5111;2;0.0003913128546272745;2;168125285;0
168141251;4;19975;4;0.00020025031289111389;4;168141251;0
168168778;1;0;1;0.0;1;168168778;0
168182811;5;17856;4;0.0002800179211469534;5;168182811;0
168214041;3;21291;3;0.0001409046075806679;3;168214041;0
168238033;4;16104;3;0.00024838549428713363;4;168238033;0
168243572;3;14303;3;0.0002097462070894218;3;168243572;0
168246679;5;8399;4;0.0005953089653530182;5;168246679;0
168269920;2;18621;1;0.00010740561731378552;2;168269920;0
168307354;3;40551;1;7.398091292446548e-05;3;168307354;0
168333757;6;21357;3;0.00028093833403567916;6;168333757;0
168343104;4;27682;2;0.00014449822989668376;4;168343104;0
168366721;2;10546;2;0.00018964536317087047;2;168366721;0
168385414;2;7421;2;0.00026950545748551406;2;168385414;0
168390647;5;22180;2;0.0002254283137962128;5;168390647;0
168412930;2;141;1;0.014184397163120567;2;168412930;0
168415457;2;15120;2;0.00013227513227513228;2;168415457;0
168466657;3;30527;2;9.827365938349657e-05;3;168466657;0
168526934;2;1900;1;0.0010526315789473684;2;168526934;0
168530958;2;31972;1;6.255473539346929e-05;2;168530958;0
168535563;6;26609;4;0.0002254876169717013;6;168535563;0
168548956;4;35761;4;0.00011185369536646068;4;168548956;0
168559866;3;20206;2;0.00014847075126200139;3;168559866;0
168586872;4;18517;1;0.0002160177134525031;4;168586872;0
168591264;1;0;1;0.0;1;168591264;0
168594001;6;33604;4;0.00017855017259850017;6;168594001;0
168634947;8;17730;5;0.0004512126339537507;8;168634947;0
168643890;2;2007;1;0.000996512207274539;2;168643890;0
168650534;5;33860;3;0.00014766686355581807;5;168650534;0
168661027;3;17807;2;0.00016847307238726343;3;168661027;0
168713221;2;15334;1;0.00013042911177774878;2;168713221;0
168770874;3;35795;1;8.381058807095963e-05;3;168770874;0
168820493;3;13946;2;0.00021511544528897175;3;168820493;0
168821629;1;0;1;0.0;1;168821629;0
168845860;2;4938;2;0.0004050222762251924;2;168845860;0
168851888;1;0;1;0.0;1;168851888;0
168864669;5;16827;2;0.00029714149878171987;5;168864669;0
168883997;3;22567;2;0.00013293747507422341;3;168883997;0
