IP de Origem;Qtd_Conexoes;Tempo_Segundos;Diversidade_IP_Destino;Requisicoes_por_Segundo;Qtd_Portas_Solicitadas;Blacklist
0;1;;1;0.0;1;0
167774540;13;106.0;13;0.12264150943396226;13;0
167776623;22;72.0;1;0.3055555555555556;22;0
167791104;17;132.0;17;0.12878787878787878;17;0
167799753;12;34.0;1;0.35294117647058826;12;0
167814927;12;139.0;12;0.08633093525179857;12;0
167819486;23;79.0;1;0.2911392405063291;23;0
167823216;15;113.0;15;0.13274336283185842;15;0
167833020;8;71.0;8;0.11267605633802817;8;0
167839013;5;45.0;5;0.1111111111111111;5;0
167857250;25;70.0;1;0.35714285714285715;25;0
167862522;19;233.0;19;0.0815450643776824;19;0
167864629;16;156.0;16;0.10256410256410256;16;0
167870521;19;230.0;19;0.08260869565217391;19;0
167874123;16;127.0;15;0.12598425196850394;16;0
167874599;16;178.0;16;0.0898876404494382;16;0
167893048;16;180.0;16;0.08888888888888889;16;0
167896452;19;214.0;19;0.08878504672897196;19;0
167897331;16;36.0;1;0.4444444444444444;16;0
167898381;16;173.0;16;0.09248554913294797;16;0
167900789;15;135.0;15;0.1111111111111111;15;0
167904356;17;218.0;17;0.0779816513761468;17;0
167905136;5;39.0;5;0.1282051282051282;5;0
167906966;11;81.0;11;0.13580246913580246;11;0
167912106;16;47.0;1;0.3404255319148936;16;0
167920641;7;84.0;7;0.08333333333333333;7;0
167931687;5;54.0;5;0.09259259259259259;5;0
167939419;19;279.0;19;0.06810035842293907;19;0
167946541;16;183.0;16;0.08743169398907104;16;0
167954702;10;96.0;10;0.10416666666666667;10;0
167962448;13;122.0;13;0.10655737704918032;13;0
167971127;13;155.0;13;0.08387096774193549;13;0
167977166;19;190.0;19;0.1;19;0
167986755;21;60.0;1;0.35;21;0
167987568;13;41.0;1;0.3170731707317073;13;0
167995794;12;86.0;12;0.13953488372093023;12;0
167998750;11;68.0;11;0.16176470588235295;11;0
168000792;18;145.0;18;0.12413793103448276;18;0
168006026;9;111.0;9;0.08108108108108109;9;0
168007071;11;147.0;11;0.07482993197278912;11;0
168021399;12;29.0;1;0.41379310344827586;12;0
168029499;12;97.0;12;0.12371134020618557;12;0
168033961;14;110.0;14;0.12727272727272726;14;0
168037752;24;82.0;1;0.2926829268292683;24;0
168041960;24;69.0;1;0.34782608695652173;24;0
168048762;5;53.0;5;0.09433962264150944;5;0
168053409;12;141.0;12;0.0851063829787234;12;0
168063451;15;42.0;1;0.35714285714285715;15;0
168066587;15;167.0;15;0.08982035928143713;15;0
168066828;12;146.0;12;0.0821917808219178;12;0
168089289;13;177.0;13;0.07344632768361582;13;0
168091598;21;53.0;1;0.39622641509433965;21;0
168096034;16;34.0;1;0.47058823529411764;16;0
168108929;13;48.0;1;0.2708333333333333;13;0
168112647;5;45.0;5;0.1111111111111111;5;0
168114085;21;68.0;1;0.3088235294117647;21;0
168117801;18;188.0;18;0.09574468085106383;18;0
168128857;21;70.0;1;0.3;21;0
168130596;24;72.0;1;0.3333333333333333;24;0
168140550;12;120.0;12;0.1;12;0
168141353;11;121.0;11;0.09090909090909091;11;0
168144153;19;204.0;19;0.09313725490196079;19;0
168158207;12;34.0;1;0.35294117647058826;12;0
168159324;15;164.0;15;0.09146341463414634;15;0
168168031;12;33.0;1;0.36363636363636365;12;0
168172953;16;213.0;16;0.07511737089201878;16;0
168174373;18;212.0;18;0.08490566037735849;18;0
168185526;20;141.0;20;0.14184397163120568;20;0
168186510;13;89.0;13;0.14606741573033707;13;0
168188246;14;153.0;14;0.0915032679738562;14;0
168202712;5;50.0;5;0.1;5;0
168207553;19;57.0;1;0.3333333333333333;19;0
168207965;15;115.0;15;0.13043478260869565;15;0
168233231;12;96.0;12;0.125;12;0
168248788;19;158.0;19;0.12025316455696203;19;0
168252537;20;58.0;1;0.3448275862068966;20;0
168257781;19;150.0;19;0.12666666666666668;19;0
168261855;25;68.0;1;0.36764705882352944;25;0
168262346;16;128.0;16;0.125;16;0
168270164;6;57.0;6;0.10526315789473684;6;0
168278605;8;95.0;8;0.08421052631578947;8;0
168286075;11;92.0;11;0.11956521739130435;11;0
168288439;20;54.0;1;0.37037037037037035;20;0
168290695;5;50.0;5;0.1;5;0
168291863;16;118.0;16;0.13559322033898305;16;0
168298235;24;79.0;1;0.3037974683544304;24;0
168305355;7;79.0;7;0.08860759493670886;7;0
168305738;11;30.0;1;0.36666666666666664;11;0
168325661;10;27.0;1;0.37037037037037035;10;0
168330914;21;65.0;1;0.3230769230769231;21;0
168339992;16;118.0;16;0.13559322033898305;16;0
168341411;18;217.0;18;0.08294930875576037;18;0
168346875;20;186.0;20;0.10752688172043011;20;0
168366037;24;62.0;1;0.3870967741935484;24;0
168366842;7;70.0;7;0.1;7;0
168368745;20;189.0;20;0.10582010582010581;20;0
168382920;15;105.0;15;0.14285714285714285;15;0
168385728;11;128.0;11;0.0859375;11;0
168386166;17;158.0;17;0.10759493670886076;17;0
168393331;23;66.0;1;0.3484848484848485;23;0
168394718;19;105.0;19;0.18095238095238095;19;0
168397006;17;51.0;1;0.3333333333333333;17;0
168426752;5;50.0;5;0.1;5;0
168431364;16;98.0;16;0.16326530612244897;16;0
168433292;16;47.0;1;0.3404255319148936;16;0
168443119;13;33.0;1;0.3939393939393939;13;0
168448787;16;190.0;16;0.08421052631578947;16;0
168460315;11;31.0;1;0.3548387096774194;11;0
168490328;13;3593.0;13;0.0036181463957695517;13;0
168498542;11;32.0;1;0.34375;11;0
168501949;25;73.0;1;0.3424657534246575;25;0
168502090;22;66.0;1;0.3333333333333333;22;0
168510092;12;85.0;12;0.1411764705882353;12;0
168510206;23;62.0;1;0.3709677419354839;23;0
168512366;10;81.0;10;0.12345679012345678;10;0
168513982;11;116.0;11;0.09482758620689655;11;0
168530040;14;35.0;1;0.4;14;0
168548562;11;26.0;1;0.4230769230769231;11;0
168551991;18;222.0;18;0.08108108108108109;18;0
168559799;17;188.0;17;0.09042553191489362;17;0
168563150;14;46.0;1;0.30434782608695654;14;0
168569857;17;159.0;17;0.1069182389937107;17;0
168572364;7;69.0;7;0.10144927536231885;7;0
168574199;24;69.0;1;0.34782608695652173;24;0
168583669;14;168.0;14;0.08333333333333333;14;0
168585088;17;50.0;1;0.34;17;0
168587715;14;143.0;14;0.0979020979020979;14;0
168593329;12;97.0;12;0.12371134020618557;12;0
168593377;20;55.0;1;0.36363636363636365;20;0
168598270;11;84.0;11;0.13095238095238096;11;0
168598971;10;97.0;10;0.10309278350515463;10;0
168607874;15;173.0;15;0.08670520231213873;15;0
168613781;17;133.0;17;0.12781954887218044;17;0
168618986;11;123.0;11;0.08943089430894309;11;0
168623095;10;102.0;10;0.09803921568627451;10;0
168623798;17;144.0;17;0.11805555555555555;17;0
168623955;17;201.0;17;0.0845771144278607;17;0
168627141;11;109.0;11;0.10091743119266056;11;0
168650604;8;93.0;8;0.08602150537634409;8;0
168654118;8;98.0;8;0.08163265306122448;8;0
168657842;17;204.0;17;0.08333333333333333;17;0
168671420;11;99.0;11;0.1111111111111111;11;0
168677528;24;79.0;1;0.3037974683544304;24;0
168679179;8;61.0;8;0.13114754098360656;8;0
168689025;14;43.0;1;0.32558139534883723;14;0
168689209;13;38.0;1;0.34210526315789475;13;0
168698721;23;3595.0;1;0.006397774687065368;23;0
168707019;20;41.0;1;0.4878048780487805;20;0
168710516;12;33.0;1;0.36363636363636365;12;0
168710873;18;153.0;18;0.11764705882352941;18;0
168711222;25;70.0;1;0.35714285714285715;25;0
168712348;10;87.0;10;0.11494252873563218;10;0
168716981;19;137.0;18;0.1386861313868613;19;0
168739161;14;141.0;14;0.09929078014184398;14;0
168741586;14;34.0;1;0.4117647058823529;14;0
168745402;14;50.0;1;0.28;14;0
168752740;25;67.0;1;0.373134328358209;25;0
168757976;12;24.0;1;0.5;12;0
168764140;11;35.0;1;0.3142857142857143;11;0
168765039;21;60.0;1;0.35;21;0
168771391;10;28.0;1;0.35714285714285715;10;0
168782900;12;101.0;12;0.1188118811881188;12;0
168782921;6;66.0;6;0.09090909090909091;6;0
168783144;10;74.0;10;0.13513513513513514;10;0
168796280;18;3590.0;18;0.005013927576601671;18;0
168800876;17;179.0;17;0.09497206703910614;17;0
168803654;11;30.0;1;0.36666666666666664;11;0
168806675;19;161.0;19;0.11801242236024845;19;0
168808552;13;137.0;13;0.0948905109489051;13;0
168823476;15;196.0;15;0.07653061224489796;15;0
168823487;12;97.0;12;0.12371134020618557;12;0
168825030;20;170.0;20;0.11764705882352941;20;0
168836634;24;78.0;1;0.3076923076923077;24;0
168840823;11;118.0;11;0.09322033898305085;11;0
168843128;16;154.0;16;0.1038961038961039;16;0
168846301;5;52.0;5;0.09615384615384616;5;0
168850655;13;122.0;13;0.10655737704918032;13;0
168866585;19;60.0;1;0.31666666666666665;19;0
168873809;13;119.0;13;0.1092436974789916;13;0
168880542;20;253.0;20;0.07905138339920949;20;0
168880920;18;117.0;18;0.15384615384615385;18;0
168894138;23;63.0;1;0.36507936507936506;23;0
168896820;10;49.0;10;0.20408163265306123;10;0
168899953;14;167.0;14;0.08383233532934131;14;0
168906771;16;133.0;16;0.12030075187969924;16;0
168917244;19;164.0;19;0.11585365853658537;19;0
168924981;15;182.0;15;0.08241758241758242;15;0
168926659;11;25.0;1;0.44;11;0
168929160;20;163.0;19;0.12269938650306748;20;0
168929374;20;155.0;20;0.12903225806451613;20;0
168929933;18;139.0;18;0.12949640287769784;18;0
168945128;16;123.0;16;0.13008130081300814;16;0
168947143;10;3581.0;10;0.0027925160569673277;10;0
168957624;9;101.0;9;0.0891089108910891;9;0
168962423;8;81.0;8;0.09876543209876543;8;0
168967275;11;32.0;1;0.34375;11;0
168990067;18;182.0;18;0.0989010989010989;18;0
168990448;7;67.0;7;0.1044776119402985;7;0
